+10p	6.43974
+10p	6.43602
+10p	6.43235
+10p	6.42873
+10p	6.42517
+10p	6.42165
+10p	6.41820
+10p	6.41479
+10p	6.41143
+10p	6.40813
+10p	6.40487
+10p	6.40167
+10p	6.39852
+10p	6.39541
+10p	6.39236
+10p	6.38936
+10p	6.38641
+10p	6.38350
+10p	6.38064
+10p	6.37784
+10p	6.37508
+10p	6.37237
+10p	6.36970
+10p	6.36709
+10p	6.36452
+10p	6.36200
+10p	6.35952
+10p	6.35710
+10p	6.35471
+10p	6.35238
+10p	6.35009
+10p	6.34784
+10p	6.34564
+10p	6.34349
+10p	6.34138
+10p	6.33931
+10p	6.33729
+10p	6.33531
+10p	6.33338
+10p	6.33149
+10p	6.32964
+10p	6.32783
+10p	6.32607
+10p	6.32435
+10p	6.32268
+10p	6.32104
+10p	6.31945
+10p	6.31790
+10p	6.31639
+10p	6.31492
+10p	6.31349
+10p	6.31210
+10p	6.31075
+10p	6.30944
+10p	6.30818
+10p	6.30695
+10p	6.30576
+10p	6.30461
+10p	6.30350
+10p	6.30243
+10p	6.30140
+10p	6.30040
+10p	6.29944
+10p	6.29852
+10p	6.29764
+10p	6.29680
+10p	6.29599
+10p	6.29522
+10p	6.29449
+10p	6.29379
+10p	6.29313
+10p	6.29251
+10p	6.29192
+10p	6.29137
+10p	6.29085
+10p	6.29037
+10p	6.28992
+10p	6.28951
+10p	6.28913
+10p	6.28879
+10p	6.28848
+10p	6.28820
+10p	6.28796
+10p	6.28775
+10p	6.28758
+10p	6.28744
+10p	6.28733
+10p	6.28726
+10p	6.28721
+10p	6.28720
+10p	6.28722
+10p	6.28728
+10p	6.28736
+10p	6.28748
+10p	6.28763
+10p	6.28781
+10p	6.28802
+10p	6.28826
+10p	6.28853
+10p	6.28883
+10p	6.28917
+10p	6.28953
+10p	6.28992
+10p	6.29034
+10p	6.29079
+10p	6.29128
+10p	6.29178
+10p	6.29232
+10p	6.29289
+10p	6.29349
+10p	6.29411
+10p	6.29476
+10p	6.29545
+10p	6.29615
+10p	6.29689
+10p	6.29765
+10p	6.29844
+10p	6.29926
+10p	6.30011
+10p	6.30098
+10p	6.30188
+10p	6.30280
+10p	6.30375
+10p	6.30473
+10p	6.30573
+10p	6.30676
+10p	6.30781
+10p	6.30889
+10p	6.31000
+10p	6.31113
+10p	6.31228
+10p	6.31346
+10p	6.31467
+10p	6.31589
+10p	6.31715
+10p	6.31842
+10p	6.31972
+10p	6.32105
+10p	6.32240
+10p	6.32377
+10p	6.32516
+10p	6.32658
+10p	6.32802
+10p	6.32948
+10p	6.33097
+10p	6.33248
+10p	6.33401
+10p	6.33556
+10p	6.33714
+10p	6.33873
+10p	6.34035
+10p	6.34199
+10p	6.34365
+10p	6.34534
+10p	6.34704
+10p	6.34877
+10p	6.35051
+10p	6.35228
+10p	6.35407
+10p	6.35587
+10p	6.35770
+10p	6.35955
+10p	6.36142
+10p	6.36330
+10p	6.36521
+10p	6.36714
+10p	6.36908
+10p	6.37105
